red,node,node_id,node_type,label,grado,grado_ponderado,intermediacion,armonica,pagerank,componente,componente_tamano,comentarios,videos_comentados,canales_distintos,categorias_distintas,consultas_distintas,comentarios_por_video,diversidad_canales,entropia_participacion,es_recurrente
proyeccion_autores,author::UC5bG9nc_JV3FsNP2KseQiYw,UC5bG9nc_JV3FsNP2KseQiYw,author,@giovannirodas4836,127,127.0,0.0,0.5699899295065458,0.003268711512314818,1,276,1,1,1,1,1,1.0,1.0,0.0,False
proyeccion_autores,author::UC650pRT-OYzny3GwOH8Cgfw,UC650pRT-OYzny3GwOH8Cgfw,author,@edvinparedesherrera7632,127,127.0,0.0,0.5699899295065458,0.003268711512314818,1,276,1,1,1,1,1,1.0,1.0,0.0,False
proyeccion_autores,author::UC6PvO1_k5lHKGdAPo5_C6TA,UC6PvO1_k5lHKGdAPo5_C6TA,author,@johnmejia992,127,127.0,0.0,0.5699899295065458,0.003268711512314818,1,276,1,1,1,1,1,1.0,1.0,0.0,False
proyeccion_autores,author::UC6YSZqL0vEcI-niPKIMUGfw,UC6YSZqL0vEcI-niPKIMUGfw,author,@maxwellsales885,127,127.0,0.0,0.5699899295065458,0.003268711512314818,1,276,1,1,1,1,1,1.0,1.0,0.0,False
proyeccion_autores,author::UC72gBAtyb_VXQlYDcFrh6oQ,UC72gBAtyb_VXQlYDcFrh6oQ,author,@osmanmorales3012,127,127.0,0.0,0.5699899295065458,0.003268711512314818,1,276,3,1,1,1,1,3.0,1.0,0.0,False
proyeccion_autores,author::UC7VUuJr9cGh845CmTvf7TlQ,UC7VUuJr9cGh845CmTvf7TlQ,author,@LuisCastillo-oz4df,127,127.0,0.0,0.5699899295065458,0.003268711512314818,1,276,1,1,1,1,1,1.0,1.0,0.0,False
proyeccion_autores,author::UC8F2V63KZ4ZEay6opX2hAQw,UC8F2V63KZ4ZEay6opX2hAQw,author,@carmenr6311,127,127.0,0.0,0.5699899295065458,0.003268711512314818,1,276,1,1,1,1,1,1.0,1.0,0.0,False
proyeccion_autores,author::UC8G5cJONY8L9voMyBW8Eoug,UC8G5cJONY8L9voMyBW8Eoug,author,@luisparedes-pw6qt,127,127.0,0.0,0.5699899295065458,0.003268711512314818,1,276,1,1,1,1,1,1.0,1.0,0.0,False
proyeccion_autores,author::UC8r11yOugM2NuRfitQOxLLg,UC8r11yOugM2NuRfitQOxLLg,author,@cesaraugustomoralesmonroy6907,127,127.0,0.0,0.5699899295065458,0.003268711512314818,1,276,1,1,1,1,1,1.0,1.0,0.0,False
proyeccion_autores,author::UC9vMq1YF-e7C-VO0SHkbUTA,UC9vMq1YF-e7C-VO0SHkbUTA,author,@ErvinLeonardoCarreraLatín,127,127.0,0.0,0.5699899295065458,0.003268711512314818,1,276,4,1,1,1,1,4.0,1.0,0.0,False
proyeccion_autores,author::UC9xr9QvIcDvoZNUX5f-jaZw,UC9xr9QvIcDvoZNUX5f-jaZw,author,@MariaaliciaColonmorales,127,127.0,0.0,0.5699899295065458,0.003268711512314818,1,276,1,1,1,1,1,1.0,1.0,0.0,False
proyeccion_autores,author::UCA93ym2TXs_Ibyxb4Vcn-6Q,UCA93ym2TXs_Ibyxb4Vcn-6Q,author,@oswaldosolis8728,127,127.0,0.0,0.5699899295065458,0.003268711512314818,1,276,1,1,1,1,1,1.0,1.0,0.0,False
proyeccion_autores,author::UCAlzM_N6xBlMYmM8EBzX86Q,UCAlzM_N6xBlMYmM8EBzX86Q,author,@carlossoto3252,127,127.0,0.0,0.5699899295065458,0.003268711512314818,1,276,1,1,1,1,1,1.0,1.0,0.0,False
proyeccion_autores,author::UCAmtbUiIrUIhikru0ZoTFig,UCAmtbUiIrUIhikru0ZoTFig,author,@Aura-vf6dm,127,127.0,0.0,0.5699899295065458,0.003268711512314818,1,276,1,1,1,1,1,1.0,1.0,0.0,False
proyeccion_autores,author::UCB5p8a5gklc80jJItP6xTHg,UCB5p8a5gklc80jJItP6xTHg,author,@ernestogamboa8737,127,127.0,0.0,0.5699899295065458,0.003268711512314818,1,276,1,1,1,1,1,1.0,1.0,0.0,False
proyeccion_autores,author::UCCaYwkkbQGcvFoUmothVdQQ,UCCaYwkkbQGcvFoUmothVdQQ,author,@OsvaldoAguirre-l3i,127,127.0,0.0,0.5699899295065458,0.003268711512314818,1,276,1,1,1,1,1,1.0,1.0,0.0,False
proyeccion_autores,author::UCDIMztpVm7G27qBuiWuT6oQ,UCDIMztpVm7G27qBuiWuT6oQ,author,@lizardomorataya8274,127,127.0,0.0,0.5699899295065458,0.003268711512314818,1,276,1,1,1,1,1,1.0,1.0,0.0,False
proyeccion_autores,author::UCDPWkUX3sNNaCx-m1dV4glA,UCDPWkUX3sNNaCx-m1dV4glA,author,@hectoroliva949,127,127.0,0.0,0.5699899295065458,0.003268711512314818,1,276,1,1,1,1,1,1.0,1.0,0.0,False
proyeccion_autores,author::UCDQaQv0hr2SS_PO-CMEwVHg,UCDQaQv0hr2SS_PO-CMEwVHg,author,@federicosaquimux1933,127,127.0,0.0,0.5699899295065458,0.003268711512314818,1,276,1,1,1,1,1,1.0,1.0,0.0,False
proyeccion_autores,author::UCDUffaruH6dyUnUGwsTKpgg,UCDUffaruH6dyUnUGwsTKpgg,author,@luisletona2842,127,127.0,0.0,0.5699899295065458,0.003268711512314818,1,276,1,1,1,1,1,1.0,1.0,0.0,False
proyeccion_autores,author::UCDftMWXQoJ6nONfY7GVOVjg,UCDftMWXQoJ6nONfY7GVOVjg,author,@luisgpacheco5858,127,127.0,0.0,0.5699899295065458,0.003268711512314818,1,276,1,1,1,1,1,1.0,1.0,0.0,False
proyeccion_autores,author::UCDlr1VadSucIZgZ171pRBjQ,UCDlr1VadSucIZgZ171pRBjQ,author,@cuabatzjj5924,127,127.0,0.0,0.5699899295065458,0.003268711512314818,1,276,1,1,1,1,1,1.0,1.0,0.0,False
proyeccion_autores,author::UCEgEQmRbtL5fwr9_DqAC--g,UCEgEQmRbtL5fwr9_DqAC--g,author,@ArielRodas-g5y,127,127.0,0.0,0.5699899295065458,0.003268711512314818,1,276,1,1,1,1,1,1.0,1.0,0.0,False
proyeccion_autores,author::UCErZPJpHmLCsXs8ZWkAUupQ,UCErZPJpHmLCsXs8ZWkAUupQ,author,@dorisl.garciaroche7763,127,127.0,0.0,0.5699899295065458,0.003268711512314818,1,276,1,1,1,1,1,1.0,1.0,0.0,False
proyeccion_autores,author::UCFUuDARXdmmIrLppEqf-rFg,UCFUuDARXdmmIrLppEqf-rFg,author,@allanmunoz7410,127,127.0,0.0,0.5699899295065458,0.003268711512314818,1,276,1,1,1,1,1,1.0,1.0,0.0,False
proyeccion_autores,author::UCFhxtoeARHPnXXPcDrOU3Xg,UCFhxtoeARHPnXXPcDrOU3Xg,author,@diegoalejandrolopezmendez205,127,127.0,0.0,0.5699899295065458,0.003268711512314818,1,276,1,1,1,1,1,1.0,1.0,0.0,False
proyeccion_autores,author::UCFjudnPLoaSL1BaRuLahyHg,UCFjudnPLoaSL1BaRuLahyHg,author,@HaroldoCastillo-rh9iw,127,127.0,0.0,0.5699899295065458,0.003268711512314818,1,276,3,1,1,1,1,3.0,1.0,0.0,False
proyeccion_autores,author::UCFoIAE8k82D6AV-8gjjKaNg,UCFoIAE8k82D6AV-8gjjKaNg,author,@eddymunoz9789,127,127.0,0.0,0.5699899295065458,0.003268711512314818,1,276,1,1,1,1,1,1.0,1.0,0.0,False
proyeccion_autores,author::UCFxE8GbokBrBsPEKM1xrOjQ,UCFxE8GbokBrBsPEKM1xrOjQ,author,@JuanDavila-qd7qj,127,127.0,0.0,0.5699899295065458,0.003268711512314818,1,276,1,1,1,1,1,1.0,1.0,0.0,False
proyeccion_autores,author::UCGzXwyCzMzGmjmCbH3Hg01Q,UCGzXwyCzMzGmjmCbH3Hg01Q,author,@FidelZacarias-ph7dy,127,127.0,0.0,0.5699899295065458,0.003268711512314818,1,276,1,1,1,1,1,1.0,1.0,0.0,False
proyeccion_autores,author::UCHhHUjaMAZ8SiXdCUCj9DkQ,UCHhHUjaMAZ8SiXdCUCj9DkQ,author,@fredymendez1786,127,127.0,0.0,0.5699899295065458,0.003268711512314818,1,276,2,1,1,1,1,2.0,1.0,0.0,False
proyeccion_autores,author::UCKDR0f2fu2UzWL8mBv5-BHw,UCKDR0f2fu2UzWL8mBv5-BHw,author,@mireyamorales6595,127,127.0,0.0,0.5699899295065458,0.003268711512314818,1,276,1,1,1,1,1,1.0,1.0,0.0,False
