channel_id,channel_name,n_comentarios,negativos,neutrales,positivos,prob_negativo_media,prob_neutral_media,prob_positivo_media,confianza_media,baja_confianza_n,pct_negativo,pct_neutral,pct_positivo,sentimiento_dominante,muestra_interpretable,minimo_muestra
UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,256,180,40,36,0.6531235106822351,0.19001224281237225,0.15686424200339383,0.8332727898377925,32,70.3125,15.625,14.0625,negativo,True,5
UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,70,34,17,19,0.4794526471190953,0.2466514361756188,0.2738959095174712,0.8006660721131733,11,48.57142857142857,24.285714285714285,27.142857142857142,negativo,True,5
UCRwA1NUcUnwsly35ikGhp0A,Noticias Telemundo,25,17,6,2,0.6108523274213076,0.2667007556185126,0.12244692903012032,0.7324066472053528,8,68.0,24.0,8.0,negativo,True,5
UCXa6LVjBzUtmcM3cwbd9e2w,Municipalidad de Guatemala,25,2,2,21,0.0956408517993986,0.14484632305800912,0.7595128253661096,0.8679102921485901,1,8.0,8.0,84.0,positivo,True,5
UCVpSRoZgngfSL03Nlbjtq9A,Noti7,14,4,6,4,0.35976430517621333,0.36285681689956356,0.27737888384477366,0.7308203769581658,6,28.571428571428573,42.857142857142854,28.571428571428573,neutral,True,5
UCEepOY2svuxbsJ-zsAPT9Fg,PrensaLibreOficial,7,6,1,0,0.7851158039910453,0.19743240065872666,0.017451800871640385,0.8699486936841693,0,85.71428571428571,14.285714285714286,0.0,negativo,True,5
UCt5Dw7ePnn0AqPqRF8Xpjkw,TN23 Guatemala,7,5,2,0,0.5467365479895047,0.3708915061184338,0.08237194602510754,0.6937249728611538,3,71.42857142857143,28.571428571428573,0.0,negativo,True,5
UCdSVqHGHzyMTXSafUHY-e-w,Noticiero Guatevisión 13 Hrs.,2,1,1,0,0.5565643012523651,0.40998714603483677,0.0334486125502735,0.8795387446880341,0,50.0,50.0,0.0,negativo,False,5
