red,componente,nodos
bipartita_autor_video,228,1
bipartita_autor_video,229,1
bipartita_autor_video,230,1
bipartita_autor_video,231,1
bipartita_autor_video,232,1
bipartita_autor_video,233,1
bipartita_autor_video,234,1
bipartita_autor_video,235,1
bipartita_autor_video,236,1
bipartita_autor_video,237,1
bipartita_autor_video,238,1
bipartita_autor_video,239,1
bipartita_autor_video,240,1
bipartita_autor_video,241,1
bipartita_autor_video,242,1
bipartita_autor_video,243,1
bipartita_autor_video,244,1
bipartita_autor_video,245,1
bipartita_autor_video,246,1
bipartita_autor_video,247,1
bipartita_autor_video,248,1
bipartita_autor_video,249,1
bipartita_autor_video,250,1
bipartita_autor_video,251,1
bipartita_autor_video,252,1
bipartita_autor_video,253,1
bipartita_autor_video,254,1
bipartita_autor_video,255,1
bipartita_autor_video,256,1
bipartita_autor_video,257,1
bipartita_autor_video,258,1
bipartita_autor_video,259,1
bipartita_autor_video,260,1
bipartita_autor_video,261,1
bipartita_autor_video,262,1
bipartita_autor_video,263,1
bipartita_autor_video,264,1
bipartita_autor_video,265,1
bipartita_autor_video,266,1
bipartita_autor_video,267,1
bipartita_autor_video,268,1
bipartita_autor_video,269,1
bipartita_autor_video,270,1
bipartita_autor_video,271,1
bipartita_autor_video,272,1
bipartita_autor_video,273,1
bipartita_autor_video,274,1
bipartita_autor_video,275,1
bipartita_autor_video,276,1
bipartita_autor_video,277,1
bipartita_autor_video,278,1
bipartita_autor_video,279,1
bipartita_autor_video,280,1
bipartita_autor_video,281,1
bipartita_autor_video,282,1
bipartita_autor_video,283,1
bipartita_autor_video,284,1
proyeccion_autores,1,276
proyeccion_autores,2,25
proyeccion_autores,3,18
proyeccion_autores,4,4
proyeccion_autores,5,3
proyeccion_autores,6,2
proyeccion_autores,7,1
proyeccion_autores,8,1
proyeccion_autores,9,1
proyeccion_autores,10,1
proyeccion_videos,1,10
proyeccion_videos,2,1
proyeccion_videos,3,1
proyeccion_videos,4,1
proyeccion_videos,5,1
proyeccion_videos,6,1
proyeccion_videos,7,1
proyeccion_videos,8,1
proyeccion_videos,9,1
proyeccion_videos,10,1
proyeccion_videos,11,1
proyeccion_videos,12,1
proyeccion_videos,13,1
proyeccion_videos,14,1
proyeccion_videos,15,1
proyeccion_videos,16,1
proyeccion_videos,17,1
proyeccion_videos,18,1
proyeccion_videos,19,1
proyeccion_videos,20,1
proyeccion_videos,21,1
proyeccion_videos,22,1
proyeccion_videos,23,1
proyeccion_videos,24,1
proyeccion_videos,25,1
proyeccion_videos,26,1
proyeccion_videos,27,1
proyeccion_videos,28,1
proyeccion_videos,29,1
proyeccion_videos,30,1
proyeccion_videos,31,1
proyeccion_videos,32,1
proyeccion_videos,33,1
proyeccion_videos,34,1
proyeccion_videos,35,1
proyeccion_videos,36,1
proyeccion_videos,37,1
proyeccion_videos,38,1
proyeccion_videos,39,1
proyeccion_videos,40,1
proyeccion_videos,41,1
proyeccion_videos,42,1
proyeccion_videos,43,1
proyeccion_videos,44,1
proyeccion_videos,45,1
proyeccion_videos,46,1
proyeccion_videos,47,1
proyeccion_videos,48,1
proyeccion_videos,49,1
proyeccion_videos,50,1
proyeccion_videos,51,1
proyeccion_videos,52,1
proyeccion_videos,53,1
proyeccion_videos,54,1
proyeccion_videos,55,1
proyeccion_videos,56,1
proyeccion_videos,57,1
proyeccion_videos,58,1
proyeccion_videos,59,1
proyeccion_videos,60,1
proyeccion_videos,61,1
proyeccion_videos,62,1
proyeccion_videos,63,1
proyeccion_videos,64,1
proyeccion_videos,65,1
proyeccion_videos,66,1
proyeccion_videos,67,1
proyeccion_videos,68,1
proyeccion_videos,69,1
proyeccion_videos,70,1
proyeccion_videos,71,1
proyeccion_videos,72,1
proyeccion_videos,73,1
proyeccion_videos,74,1
proyeccion_videos,75,1
proyeccion_videos,76,1
proyeccion_videos,77,1
proyeccion_videos,78,1
proyeccion_videos,79,1
proyeccion_videos,80,1
proyeccion_videos,81,1
proyeccion_videos,82,1
proyeccion_videos,83,1
proyeccion_videos,84,1
proyeccion_videos,85,1
proyeccion_videos,86,1
proyeccion_videos,87,1
proyeccion_videos,88,1
proyeccion_videos,89,1
proyeccion_videos,90,1
proyeccion_videos,91,1
proyeccion_videos,92,1
proyeccion_videos,93,1
proyeccion_videos,94,1
proyeccion_videos,95,1
proyeccion_videos,96,1
proyeccion_videos,97,1
proyeccion_videos,98,1
proyeccion_videos,99,1
proyeccion_videos,100,1
proyeccion_videos,101,1
proyeccion_videos,102,1
proyeccion_videos,103,1
proyeccion_videos,104,1
proyeccion_videos,105,1
proyeccion_videos,106,1
proyeccion_videos,107,1
proyeccion_videos,108,1
proyeccion_videos,109,1
proyeccion_videos,110,1
proyeccion_videos,111,1
proyeccion_videos,112,1
proyeccion_videos,113,1
proyeccion_videos,114,1
proyeccion_videos,115,1
proyeccion_videos,116,1
proyeccion_videos,117,1
proyeccion_videos,118,1
proyeccion_videos,119,1
proyeccion_videos,120,1
proyeccion_videos,121,1
proyeccion_videos,122,1
proyeccion_videos,123,1
proyeccion_videos,124,1
proyeccion_videos,125,1
proyeccion_videos,126,1
proyeccion_videos,127,1
proyeccion_videos,128,1
proyeccion_videos,129,1
proyeccion_videos,130,1
proyeccion_videos,131,1
proyeccion_videos,132,1
proyeccion_videos,133,1
proyeccion_videos,134,1
proyeccion_videos,135,1
proyeccion_videos,136,1
proyeccion_videos,137,1
proyeccion_videos,138,1
proyeccion_videos,139,1
proyeccion_videos,140,1
proyeccion_videos,141,1
proyeccion_videos,142,1
proyeccion_videos,143,1
proyeccion_videos,144,1
proyeccion_videos,145,1
proyeccion_videos,146,1
proyeccion_videos,147,1
proyeccion_videos,148,1
proyeccion_videos,149,1
proyeccion_videos,150,1
proyeccion_videos,151,1
proyeccion_videos,152,1
proyeccion_videos,153,1
proyeccion_videos,154,1
proyeccion_videos,155,1
proyeccion_videos,156,1
proyeccion_videos,157,1
proyeccion_videos,158,1
proyeccion_videos,159,1
proyeccion_videos,160,1
proyeccion_videos,161,1
proyeccion_videos,162,1
proyeccion_videos,163,1
proyeccion_videos,164,1
proyeccion_videos,165,1
proyeccion_videos,166,1
proyeccion_videos,167,1
proyeccion_videos,168,1
proyeccion_videos,169,1
proyeccion_videos,170,1
proyeccion_videos,171,1
proyeccion_videos,172,1
proyeccion_videos,173,1
proyeccion_videos,174,1
proyeccion_videos,175,1
proyeccion_videos,176,1
proyeccion_videos,177,1
proyeccion_videos,178,1
proyeccion_videos,179,1
proyeccion_videos,180,1
proyeccion_videos,181,1
proyeccion_videos,182,1
proyeccion_videos,183,1
proyeccion_videos,184,1
proyeccion_videos,185,1
proyeccion_videos,186,1
proyeccion_videos,187,1
proyeccion_videos,188,1
proyeccion_videos,189,1
proyeccion_videos,190,1
proyeccion_videos,191,1
proyeccion_videos,192,1
proyeccion_videos,193,1
proyeccion_videos,194,1
