node,node_id,node_type,bipartite,label,channel_id,channel_name,category,view_count,comments_total,author_handle,videos_count
video::4DD1nlxWk2s,4DD1nlxWk2s,video,1,Fuertes LLUVIAS en el JABALI; a si luce una Tarde de Tormenta 😱,UCKu8ZkS9vriCetFagAGIMXA,VIVA GUATEMALA,Entertainment,27111.0,0,,
video::4FUed7cIhPU,4FUed7cIhPU,video,1,El Sistema CONRED y el Gobierno de Guatemala trabajan unidos para atender emergencias.,UC6SA1dVHvAkc6yNS_t5cbGw,Conred,Education,47.0,0,,
video::4H6w9FQAcS8,4H6w9FQAcS8,video,1,"Avances en temas de economía, precios de los combustibles y otros temas de interés nacional.",UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,Entertainment,1489.0,0,,
video::5DRG-WGTq1k,5DRG-WGTq1k,video,1,El Sistema CONRED continúa activo y trabajando de manera coordinada #VolcánDeFuego.,UC6SA1dVHvAkc6yNS_t5cbGw,Conred,Education,68.0,0,,
video::5MFnG5B7ric,5MFnG5B7ric,video,1,Municipalidad de Guatemala   09/07/2025,UCW_PHqwqCCalvQGOEsVU0jw,Concejales de Oposición - Muni Guate,People & Blogs,107.0,0,,
video::5OhxjDvuYbQ,5OhxjDvuYbQ,video,1,"Operativos PMT ""Cero Tolerancia"" para fin de año",UCXa6LVjBzUtmcM3cwbd9e2w,Municipalidad de Guatemala,News & Politics,494.0,0,,
video::5UNxNfcSzG4,5UNxNfcSzG4,video,1,Distinción del Cambio de la Rosa de la Paz a Pedro Castro López del INACOP,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,Entertainment,741.0,0,,
video::5Y7fntl6Rc8,5Y7fntl6Rc8,video,1,Cómo llegar a TIKAL desde Ciudad de GUATEMALA en autobús o en Avión | transporte a PETÉN,UCfMjuFkpFo_QAWtvQqR2EHQ,De viaje con Migue,Travel & Events,11061.0,0,,
video::5nw9G1vwnYY,5nw9G1vwnYY,video,1,Actriz guatemalteca caracteriza a Consuelo Porras frente al MP por salida del cargo,UCEepOY2svuxbsJ-zsAPT9Fg,PrensaLibreOficial,News & Politics,40327.0,0,,
video::677N9cx_kKE,677N9cx_kKE,video,1,Carlos Pineda Seguridad I - Guatemala tiene solución | Ep. 2,UCInL6HZez6Qn8IHV8Achhxw,Carlos Pineda,People & Blogs,8568.0,0,,
video::6KlI_geqPOI,6KlI_geqPOI,video,1,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt.,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,Entertainment,2301.0,0,,
video::6W4u8sGEnGM,6W4u8sGEnGM,video,1,Inician los trabajos de recuperación del Puente Belice II.,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,Entertainment,11670.0,45,,
video::6Wf0ItQUaDU,6Wf0ItQUaDU,video,1,“Queremos generar 60 mil empleos”: Victorino Carranza revela el plan y las pérdidas de la Gremipe,UCoXuxT5_LclvcoCeFoS_iUw,Campus TV,News & Politics,2.0,0,,
video::6y3KQmmg3Oc,6y3KQmmg3Oc,video,1,Noticiero El Informativo. Nuestra semana de resultados.,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,Entertainment,303.0,0,,
