unidad,top_n,comentarios_acumulados,participacion_pct
video,1,161,39.6551724137931
video,3,256,63.05418719211823
video,5,306,75.36945812807882
video,10,380,93.5960591133005
canal,1,256,63.05418719211823
canal,3,351,86.45320197044335
canal,5,390,96.05911330049261
canal,10,406,100.0
