category,n_comentarios,negativos,neutrales,positivos,prob_negativo_media,prob_neutral_media,prob_positivo_media,confianza_media,baja_confianza_n,pct_negativo,pct_neutral,pct_positivo,sentimiento_dominante,muestra_interpretable,minimo_muestra
News & Politics,335,215,57,63,0.5973031598080728,0.2039528187836951,0.19874401951917622,0.8232124841924924,49,64.17910447761194,17.01492537313433,18.80597014925373,negativo,True,5
Entertainment,70,34,17,19,0.4794526471190953,0.2466514361756188,0.2738959095174712,0.8006660721131733,11,48.57142857142857,24.285714285714285,27.142857142857142,negativo,True,5
Nonprofits & Activism,1,0,1,0,0.2381850183010101,0.485853910446167,0.2759611010551452,0.485853910446167,1,0.0,100.0,0.0,neutral,False,5
